sensor_1, 1582530185000, 36.100025551
sensor_1, 1582530195000, 37.200025551
sensor_1, 1582530227000, 24.107895551
sensor_1, 1582530327000, 25.107895551
sensor_1, 1582530427000, 27.107895551
sensor_1, 1582530527000, 28.107895551
sensor_1, 1582530545000, 23.107895551
sensor_1, 1582530545000, 22.107895551
sensor_1, 1582530645000, 21.107895551
sensor_1, 1582531645000, 18.107895551
sensor_1, 1582540645000, 18.108756665
sensor_2, 1582530227000, 20.607895551
sensor_3, 1582530417000, 27.154552551
sensor_3, 1582530417000, 28.154552551
sensor_3, 1582530417000, 20.154552551
sensor_3, 1582530428000, 27.258422121
